Neuron Name	Soma_Surface_total_sum	N_stems_total_sum	
AM107-4-3.CNG.swc	593.22	6.0	
TS051208s2c1.CNG.swc	816.61	5.0	
GA02402c1n2-1.CNG.swc	587.93	7.0	
JM020404-30-2.CNG.swc	639.3	7.0	
Vn01162006-0-D.CNG.swc	1250.83	8.0	
KP052207.CNG.swc	1053.84	4.0	
TS060607s2cell2.CNG.swc	1129.0	5.0	
Vn02162006-0-D.CNG.swc	765.79	5.0	
Rosa2.CNG.swc	526.79	7.0	
030403-1.CNG.swc	1317.01	6.0	
AM73-3-1.CNG.swc	515.35	6.0	
JM082003-30-2.CNG.swc	803.08	7.0	
VN051305-b.CNG.swc	1088.44	8.0	
KP060107-2.CNG.swc	NA	NA	
Vn01232006-0-C.CNG.swc	965.1	7.0	
030502-3.CNG.swc	650.49	6.0	
GA01n14c3.CNG.swc	109.55	9.0	
AWd110509cell2.CNG.swc	1033.33	9.0	
AWd082009cell2.CNG.swc	792.08	17.0	
EF092408n4-5cell1.CNG.swc	467.82	5.0	
RJune.CNG.swc	1277.19	5.0	
JM093003-30.CNG.swc	386.66	6.0	
AM45-1.CNG.swc	793.2	8.0	
TS060408s2cell3.CNG.swc	107.24	1.0	
AM52-3-1.CNG.swc	856.87	7.0	
030521-1.CNG.swc	1023.02	8.0	
MJ030206SL1.CNG.swc	NA	NA	
TS051208s3c3.CNG.swc	1286.45	8.0	
MD070517-1.CNG.swc	NA	NA	
AWd101008cell2.CNG.swc	387.49	1.0	
NL070508-1.CNG.swc	698.16	9.0	
AM58-1.CNG.swc	524.21	6.0	
AM60-2-1.CNG.swc	610.17	6.0	
GA02326c1n2-1.CNG.swc	729.15	11.0	
JMn110504-10-2.CNG.swc	415.95	1.0	
DD030225-5-PV.CNG.swc	921.33	9.0	
AM62-1-1.CNG.swc	642.92	8.0	
DAG171F.CNG.swc	531.26	7.0	
AWb091509cell2.CNG.swc	582.59	5.0	
AWab092109cell2.CNG.swc	577.36	5.0	
DAG262F.CNG.swc	422.67	6.0	
JM020304-10-1.CNG.swc	1016.66	6.0	
JM082103-10.CNG.swc	406.52	13.0	
AM95-3-2.CNG.swc	1018.42	8.0	
020227-slice4.CNG.swc	678.32	6.0	
Vn06202006-0-B.CNG.swc	630.69	8.0	
JM011404-20.CNG.swc	310.71	1.0	
MJ090804-2-3.CNG.swc	568.69	7.0	
Vn07142006-1-C.CNG.swc	743.0	2.0	
JMn030105-10-2.CNG.swc	670.68	9.0	
JM082003-10.CNG.swc	617.78	6.0	
EF090608-1.CNG.swc	506.79	8.0	
AP122409Bcell2.CNG.swc	869.52	13.0	
VN101304-2-2.CNG.swc	841.59	3.0	
030423-3.CNG.swc	499.6	6.0	
KP061608Bcell1.CNG.swc	223.45	6.0	
BW082304-10.CNG.swc	833.93	10.0	
JM101503-10.CNG.swc	688.19	5.0	
MD070501-3.CNG.swc	1134.95	8.0	
GA02206c3-2.CNG.swc	669.24	5.0	
DS081204-3.CNG.swc	NA	NA	
JMn030105-20-1.CNG.swc	683.55	10.0	
JM092903-20-3.CNG.swc	133.85	1.0	
MD9908-3cell1.CNG.swc	667.82	8.0	
AWab042309cell1.CNG.swc	302.04	4.0	
AM45-2.CNG.swc	793.2	7.0	
JM080803-30.CNG.swc	410.31	5.0	
AM62-1-2.CNG.swc	642.92	7.0	
Vn06202006-0-A.CNG.swc	447.02	4.0	
GA02212c2n3-2.CNG.swc	469.93	7.0	
DAG032F.CNG.swc	691.02	6.0	
AM72-1.CNG.swc	1435.31	4.0	
MD070417-1.CNG.swc	636.47	9.0	
AM81-2-2.CNG.swc	597.58	7.0	
JM011504-10.CNG.swc	NA	NA	
GA01628c1-a.CNG.swc	111.0	5.0	
MD070503-4.CNG.swc	717.1	14.0	
AP030707-4.CNG.swc	415.87	5.0	
VN033105-2.CNG.swc	992.46	2.0	
030124-1.CNG.swc	1042.0	10.0	
JM081903-30-unfinished.CNG.swc	NA	NA	
BW070504Acell2.CNG.swc	338.8	4.0	
Vn04182006-0-B.CNG.swc	1040.84	8.0	
JM091703-20-1.CNG.swc	807.82	8.0	
DEV52T1.CNG.swc	1233.54	5.0	
JMn032205-10-1.CNG.swc	719.86	11.0	
JM072803-20.CNG.swc	469.8	10.0	
Vn01162006-0-A.CNG.swc	943.64	4.0	
JMcell8or11-2.CNG.swc	NA	NA	
030224-4-PV.CNG.swc	1060.31	7.0	
MD070410-1.CNG.swc	778.36	5.0	
020621-1-NPY.CNG.swc	827.93	6.0	
AM101-3-1.CNG.swc	940.46	8.0	
GA01302c2.CNG.swc	94.99	6.0	
030617-4.CNG.swc	745.17	7.0	
AP050710K-cell1.CNG.swc	805.29	7.0	
JM091703-30-1.CNG.swc	0.18	1.0	
GA02311c3n4-1.CNG.swc	595.07	8.0	
EF092308n4.CNG.swc	655.05	4.0	
030124-4.CNG.swc	615.61	6.0	
MD080617-3.CNG.swc	489.38	7.0	
AWb101408.CNG.swc	500.39	7.0	
JM092903-10-1.CNG.swc	502.8	4.0	
Vn11302005-0-B.CNG.swc	965.03	9.0	
GAcrrnt.CNG.swc	499.17	2.0	
JM011404-20-2.CNG.swc	310.89	1.0	
TS010808S2C1.CNG.swc	1015.3	5.0	
MD070419-1.CNG.swc	286.97	7.0	
AWb80617cell1.CNG.swc	637.23	5.0	
AP121808Dcell2.CNG.swc	619.76	2.0	
MJ090804-1-3.CNG.swc	1101.2	9.0	
AWab101608cell1.CNG.swc	491.12	5.0	
MJ090804-2-2.CNG.swc	980.86	6.0	
AWa80213.CNG.swc	778.52	11.0	
AP040607-1cell3.CNG.swc	557.5	6.0	
AP030207-2.CNG.swc	1442.97	6.0	
R75C1.CNG.swc	2009.88	5.0	
GA02227c1n2.CNG.swc	614.3	5.0	
RA080304-2.CNG.swc	1128.86	7.0	
GA01315c1n2-1.CNG.swc	252.1	9.0	
AWa020209.CNG.swc	919.2	13.0	
KP092908fluo-4f.CNG.swc	581.35	6.0	
JMn110904-10.CNG.swc	624.72	5.0	
TS050207s1complete.CNG.swc	566.22	4.0	
TS060408s2cell1.CNG.swc	727.99	5.0	
Vn12052005-1-B.CNG.swc	738.73	10.0	
MD070424-2.CNG.swc	960.01	8.0	
DEV174T4.CNG.swc	1116.47	5.0	
GA02219c1n2-1.CNG.swc	1210.77	12.0	
AP041910E-2.CNG.swc	670.11	6.0	
RosaY152A-incomplete.CNG.swc	715.83	5.0	
020801-3-ST.CNG.swc	726.43	5.0	
JMn030105-10-1.CNG.swc	500.56	4.0	
KP061608cell2.CNG.swc	824.76	6.0	
DD030223-2-PV.CNG.swc	1419.24	10.0	
TS091908s1cell2.CNG.swc	733.71	2.0	
JM080603-30-2.CNG.swc	363.72	3.0	
GA01104c2.CNG.swc	115.71	6.0	
AP122308Acell2.CNG.swc	1364.24	8.0	
Vn01062006-0-1-B.CNG.swc	997.24	5.0	
BW061504-10.CNG.swc	623.55	8.0	
Vn01062006-0-1-A.CNG.swc	515.82	1.0	
AWa101408.CNG.swc	741.68	5.0	
M061705SL2-good-revised.CNG.swc	1906.08	9.0	
AM63-1.CNG.swc	1009.95	16.0	
GA05505-1.CNG.swc	491.31	6.0	
JM011004-10-2.CNG.swc	664.96	6.0	
Vn03082006-0-D.CNG.swc	1499.11	7.0	
AWb80801.CNG.swc	472.56	8.0	
GA01o22c1n2.CNG.swc	507.59	7.0	
GA02501c1n2-1.CNG.swc	NA	NA	
RosaY131B.CNG.swc	767.3	8.0	
GA02501c1n2-2.CNG.swc	551.66	5.0	
MD070501-4-2.CNG.swc	799.9	7.0	
AM76-1.CNG.swc	677.6	6.0	
AP030107-5-2.CNG.swc	829.12	8.0	
AWd101008cell1.CNG.swc	475.21	5.0	
JM082503-10-1.CNG.swc	744.36	8.0	
MD070417-3-2.CNG.swc	712.79	5.0	
030223-5-PV.CNG.swc	970.65	7.0	
020801-1-ST.CNG.swc	612.49	4.0	
DAS303F.CNG.swc	610.4	9.0	
EF060608-5-6.CNG.swc	626.77	6.0	
AWa012109.CNG.swc	289.77	8.0	
030128-3.CNG.swc	332.76	4.0	
EF062108-n4-5cell2.CNG.swc	521.51	1.0	
JM090103-10-1.CNG.swc	619.81	6.0	
Vn04012005-0-1.CNG.swc	503.67	5.0	
EF091808n3-4cell2.CNG.swc	639.04	1.0	
AM31-2.CNG.swc	1163.34	8.0	
KP060807p14-s1complete.CNG.swc	1006.92	7.0	
GA01913c1.CNG.swc	329.49	5.0	
MD070413-2complete.CNG.swc	669.7	4.0	
GA01627c1-a.CNG.swc	30.89	8.0	
MD070517-4a.CNG.swc	683.14	4.0	
Vn05302006-1-C.CNG.swc	447.12	4.0	
RA080304-1.CNG.swc	1128.86	9.0	
GA01o11c3.CNG.swc	128.56	3.0	
DAG052C-2.CNG.swc	368.93	4.0	
MD070517-4.CNG.swc	682.68	4.0	
DEV133T3.CNG.swc	1719.69	9.0	
GA01120c1.CNG.swc	137.72	6.0	
AM85-2-1.CNG.swc	707.66	6.0	
DD020801-2-ST.CNG.swc	926.19	6.0	
MD070430-1.CNG.swc	NA	NA	
DEV174T1.CNG.swc	1691.09	7.0	
JM012804-40-1.CNG.swc	779.17	9.0	
GA02605-3.CNG.swc	1238.84	7.0	
JM082703-20-3.CNG.swc	884.82	6.0	
AWa70430.CNG.swc	917.3	6.0	
Vn04212005-0-0.CNG.swc	1549.19	7.0	
MD070501-2.CNG.swc	1309.56	10.0	
DEV104T1.CNG.swc	1807.74	6.0	
DEV128T2.CNG.swc	1636.88	4.0	
GA01319c1.CNG.swc	93.42	5.0	
DEV172T1.CNG.swc	2135.07	5.0	
JMn030105-20-2.CNG.swc	683.55	5.0	
TS051208s2c2.CNG.swc	596.41	8.0	
Vn07172006-0-D.CNG.swc	1163.64	1.0	
AP041910E-1.CNG.swc	873.87	8.0	
MD070401-2.CNG.swc	1258.01	9.0	
RosaA251A-incomplete.CNG.swc	695.31	10.0	
JM072203-10.CNG.swc	562.47	7.0	
MJ122304-1-1.CNG.swc	448.95	5.0	
TS073008.CNG.swc	750.58	5.0	
AWa80728.CNG.swc	522.73	4.0	
AM60-1.CNG.swc	1040.64	8.0	
GA01418c2-a.CNG.swc	110.73	4.0	
GA01118c1.CNG.swc	177.11	5.0	
VN07012004-0.CNG.swc	NA	NA	
DAO102E.CNG.swc	544.33	6.0	
AWa70824.CNG.swc	942.11	13.0	
EF061610n3-4cell1.CNG.swc	479.83	4.0	
AWa011309.CNG.swc	221.88	7.0	
DAL301F.CNG.swc	NA	NA	
AM100-1-2.CNG.swc	918.72	6.0	
KP051607complete.CNG.swc	665.8	7.0	
MJ070504-c1.CNG.swc	513.52	8.0	
MD080619-1.CNG.swc	782.6	8.0	
Vn07132006-0-C.CNG.swc	660.75	8.0	
AM54-1.CNG.swc	962.88	6.0	
JMcell.CNG.swc	381.39	5.0	
Vn05312006-1-A.CNG.swc	534.29	8.0	
JM091703-20-2.CNG.swc	396.83	3.0	
GA02212c2n3-1.CNG.swc	469.93	8.0	
TS050907s5c1.CNG.swc	759.98	10.0	
DS041405-2.CNG.swc	624.21	8.0	
GA02205c2n3-1.CNG.swc	NA	NA	
AP050610D-cell2.CNG.swc	735.79	6.0	
GA01315c1n2-2.CNG.swc	252.1	9.0	
020619-1-NPY.CNG.swc	562.13	11.0	
GA02205c2n3-2.CNG.swc	NA	NA	
MD021809-1.CNG.swc	668.28	10.0	
MJ062904-1.CNG.swc	510.46	4.0	
TS052208s2c1.CNG.swc	486.47	4.0	
AWa80618.CNG.swc	418.51	9.0	
MD070424-3.CNG.swc	597.75	6.0	
AP042010Acell1.CNG.swc	709.28	8.0	
AM85-2-2.CNG.swc	994.8	6.0	
Dev97T1.CNG.swc	1687.68	5.0	
KP060608.CNG.swc	966.84	6.0	
AP040607-1cell2.CNG.swc	580.86	5.0	
AWc70823.CNG.swc	550.73	4.0	
KP092908fluo-4d.CNG.swc	743.19	8.0	
VN062404-1.CNG.swc	632.09	2.0	
AM52-3-2.CNG.swc	740.78	8.0	
GA01o29c3n4.CNG.swc	363.19	4.0	
AWab80610cell1.CNG.swc	353.06	3.0	
AWb012009.CNG.swc	141.29	2.0	
GA01311c3.CNG.swc	88.91	3.0	
DEV127T3.CNG.swc	1135.84	5.0	
TS053007complete.CNG.swc	813.96	8.0	
AWa012009.CNG.swc	381.93	1.0	
AM100-1-1.CNG.swc	812.15	8.0	
GA01o15c1.CNG.swc	310.84	6.0	
MD070413-1.CNG.swc	745.58	6.0	
GA01104c1-a.CNG.swc	103.13	6.0	
GA02327c1.CNG.swc	629.51	6.0	
VN101304-2-1.CNG.swc	841.59	11.0	
M071505SL1.CNG.swc	1769.37	8.0	
EF061610n3-4cell2.CNG.swc	657.32	5.0	
GA02219c1n2-2.CNG.swc	1210.77	8.0	
MD062509-1.CNG.swc	1077.07	5.0	
JMn091304-10-1.CNG.swc	727.96	10.0	
Vn12052005-1-A.CNG.swc	757.13	4.0	
JM090203-10-2.CNG.swc	227.47	4.0	
RA080304-3.CNG.swc	1128.86	5.0	
M050305SL1.CNG.swc	1054.13	8.0	
KP061608cell1.CNG.swc	1002.46	11.0	
DEV157T2.CNG.swc	1346.58	4.0	
020531-3-NPY.CNG.swc	928.93	9.0	
AP010709Bcell1.CNG.swc	570.76	5.0	
TS101008s3.CNG.swc	805.93	5.0	
AWa80519.CNG.swc	226.01	8.0	
Vn01132006-0-C.CNG.swc	890.37	7.0	
EF060409n1-2cell1.CNG.swc	503.75	2.0	
GA01n28c1-6.CNG.swc	732.06	7.0	
Vn04172006-0-D.CNG.swc	804.42	8.0	
AM47-2-2.CNG.swc	656.14	7.0	
AM52-3-4.CNG.swc	1032.89	5.0	
GA00d04c2-a.CNG.swc	117.86	8.0	
M053005SL1.CNG.swc	714.28	9.0	
DEV125T1.CNG.swc	1095.38	5.0	
DAO081E.CNG.swc	716.22	6.0	
AM22-1.CNG.swc	NA	NA	
JM091503-20-3.CNG.swc	578.99	4.0	
VN051305-a.CNG.swc	1136.59	8.0	
JMn110504-10-3.CNG.swc	415.95	6.0	
GA02326c1n2-2.CNG.swc	729.15	7.0	
GA02115c3nc4-2.CNG.swc	820.09	7.0	
MJ061404-3.CNG.swc	NA	NA	
JMn020305-20-1.CNG.swc	961.99	8.0	
MD070501-4-1.CNG.swc	505.59	4.0	
TS060408s2cell2.CNG.swc	384.54	5.0	
JM092903-20-1.CNG.swc	476.36	5.0	
TS011808s2c2.CNG.swc	591.85	8.0	
JM082003-20.CNG.swc	401.07	4.0	
Vn05302006-0-D.CNG.swc	668.18	8.0	
RosaG282A.CNG.swc	412.58	6.0	
030506-3.CNG.swc	374.83	7.0	
020227-slice2.CNG.swc	978.05	7.0	
MD070501-4.CNG.swc	882.92	1.0	
GA01o17c4n5.CNG.swc	98.9	7.0	
AP121509Dcell1.CNG.swc	697.67	6.0	
BW022205nC-2.CNG.swc	896.17	1.0	
AM47-3-1.CNG.swc	794.74	5.0	
Vn07142006-0-B.CNG.swc	630.37	4.0	
KP061608Bcell2.CNG.swc	187.52	5.0	
GA00d05c2.CNG.swc	84.93	9.0	
VN101504-0.CNG.swc	NA	NA	
DAG031F.CNG.swc	464.04	9.0	
JM072803-10.CNG.swc	1011.83	9.0	
TS060407s1c1complete.CNG.swc	749.19	9.0	
GA02209c1n2-2.CNG.swc	348.65	9.0	
DEV56T1.CNG.swc	1351.47	5.0	
DS082004-2.CNG.swc	998.97	10.0	
AWabc041609cell3.CNG.swc	487.68	6.0	
JMcell1or7-2.CNG.swc	1361.39	3.0	
MD070417-3-1.CNG.swc	780.81	4.0	
Vn07142006-1-A.CNG.swc	711.69	3.0	
DS081004.CNG.swc	602.34	7.0	
JM020304-10-2.CNG.swc	356.46	1.0	
JM072903-10.CNG.swc	650.0	8.0	
020801-2-ST.CNG.swc	824.87	6.0	
011005-slice1.CNG.swc	NA	NA	
AM99-3-1.CNG.swc	960.37	10.0	
MJ062904-2.CNG.swc	475.87	8.0	
Vn02042006-0-D.CNG.swc	840.8	2.0	
JMn020305-20-2.CNG.swc	NA	NA	
JM082703-20-1.CNG.swc	416.4	6.0	
KP062507complete.CNG.swc	1426.73	11.0	
AM107-4-2.CNG.swc	472.76	6.0	
JM011404-20-1.CNG.swc	428.08	4.0	
JMn110504-10-1.CNG.swc	NA	NA	
TS091908s1cell1.CNG.swc	880.38	3.0	
VN042105-0.CNG.swc	1201.52	5.0	
GA02401c1n2-1.CNG.swc	471.67	8.0	
GA01710c1.CNG.swc	75.63	4.0	
Vn01132006-0-A.CNG.swc	921.82	6.0	
AWd082009cell1.CNG.swc	1107.77	10.0	
AP030107-5-1.CNG.swc	889.36	7.0	
GA02403c2n3-2.CNG.swc	572.36	5.0	
MD07061-1.CNG.swc	1223.38	8.0	
Vn02062006-1-C.CNG.swc	582.92	7.0	
GA01n06c1.CNG.swc	208.94	9.0	
JM090203-10-1.CNG.swc	577.21	6.0	
MJ061404-2-1.CNG.swc	936.99	6.0	
AP121808Dcell1.CNG.swc	758.38	1.0	
AM46-2.CNG.swc	519.66	11.0	
RosaA291A.CNG.swc	826.99	8.0	
020515-2-NPY.CNG.swc	662.92	4.0	
JMn030105-20-3.CNG.swc	683.55	7.0	
Vn02062006-1-D.CNG.swc	523.22	5.0	
M062105SL2.CNG.swc	1116.71	7.0	
BW100704-10.CNG.swc	978.99	7.0	
MD070424-3(lab).CNG.swc	598.39	5.0	
030223-4-PV.CNG.swc	798.82	7.0	
GA01604c4.CNG.swc	154.19	8.0	
AP122409Bcell3.CNG.swc	1054.57	9.0	
AP042010A-1.CNG.swc	890.53	5.0	
JM011004-10-1.CNG.swc	1143.25	9.0	
JM080703-30-cell2-6.CNG.swc	NA	NA	
DS082004-1.CNG.swc	523.33	5.0	
MD070456-4.CNG.swc	NA	NA	
MJ090804-2-4.CNG.swc	749.25	1.0	
M060405SL1.CNG.swc	554.19	8.0	
JM083105-20.CNG.swc	508.06	4.0	
GA02115c3nc4-1.CNG.swc	820.09	6.0	
MD070410-3.CNG.swc	1086.81	8.0	
MJ071604-3.CNG.swc	NA	NA	
MD070729.CNG.swc	929.97	2.0	
AM55-3-1.CNG.swc	716.5	8.0	
AP041910D.CNG.swc	657.43	9.0	
GA01o31c1n2.CNG.swc	NA	NA	
MD070503-3.CNG.swc	719.97	9.0	
AWa100108.CNG.swc	455.61	3.0	
Vn04042006-0-D.CNG.swc	513.59	1.0	
AP032307-6.CNG.swc	875.53	7.0	
AWab012209cell2.CNG.swc	979.29	11.0	
Vn02222006-0-C.CNG.swc	870.33	5.0	
EF160608-1.CNG.swc	814.74	4.0	
JM080503-30.CNG.swc	357.94	6.0	
Vn12052005-1-D.CNG.swc	1069.85	10.0	
JMcell7or1-1.CNG.swc	1215.72	9.0	
GA01712c2anb-1.CNG.swc	80.29	4.0	
KP020107cell1.CNG.swc	105.08	2.0	
BW022205nC-1.CNG.swc	896.17	6.0	
AM60-2-2.CNG.swc	1140.25	2.0	
GA02401c1n2-2.CNG.swc	471.67	6.0	
GA01216c1n2-2.CNG.swc	85.08	4.0	
030213-1.CNG.swc	772.59	6.0	
JM012704-40-1.CNG.swc	1314.7	9.0	
GA01319c2.CNG.swc	107.17	6.0	
AM73-5-2.CNG.swc	412.84	5.0	
AM46-1.CNG.swc	1248.05	7.0	
030430-5.CNG.swc	508.58	9.0	
DAG061C.CNG.swc	793.1	7.0	
MJ021506SL2.CNG.swc	448.74	7.0	
AM73-5-1.CNG.swc	487.77	1.0	
EF092408n2-3cell2.CNG.swc	509.74	4.0	
MD070423-1.CNG.swc	773.69	6.0	
DEV160T3.CNG.swc	1145.11	5.0	
092105jm10.CNG.swc	251.97	7.0	
MD070412-4.CNG.swc	714.79	4.0	
AM50-1-1.CNG.swc	516.93	8.0	
MD070426-2.CNG.swc	599.23	8.0	
AWa112009cell2.CNG.swc	681.1	9.0	
MD070424-4.CNG.swc	1348.58	11.0	
MJ090804-2-1.CNG.swc	826.05	4.0	
MD91008-3cell2.CNG.swc	491.9	4.0	
KP051508.CNG.swc	786.4	5.0	
DEV166T1.CNG.swc	1840.0	5.0	
AWd081709.CNG.swc	376.42	9.0	
EF093008n2.CNG.swc	1348.19	5.0	
AP041910F-2.CNG.swc	343.55	6.0	
MD070408.CNG.swc	NA	NA	
Vn02062006-1-B.CNG.swc	947.32	5.0	
030225-5-PV.CNG.swc	907.88	8.0	
AWa80325.CNG.swc	394.52	11.0	
AP010509Ccell1.CNG.swc	1366.73	9.0	
MD91008-1cell2.CNG.swc	697.26	7.0	
DEV169T1.CNG.swc	1339.43	4.0	
030429-5.CNG.swc	496.66	7.0	
DAN063F.CNG.swc	717.88	10.0	
DEV133T2.CNG.swc	1095.28	6.0	
GA02206c3-1.CNG.swc	669.24	9.0	
GA02209c1n2-1.CNG.swc	348.65	9.0	
Vn05312006-1-B.CNG.swc	678.78	5.0	
AWd041609cell2.CNG.swc	0.06	8.0	
JM011404-10-2.CNG.swc	NA	NA	
JM090103-10-2.CNG.swc	594.34	4.0	
AWa80520.CNG.swc	508.76	11.0	
JMn071204.CNG.swc	795.0	7.0	
JM011504-10-1.CNG.swc	681.31	8.0	
EF180608-2.CNG.swc	709.71	5.0	
DAG052C-1.CNG.swc	666.5	5.0	
JM011504-30.CNG.swc	845.59	6.0	
030430-6.CNG.swc	1021.03	7.0	
030123-1.CNG.swc	624.97	9.0	
AP010709Bcell2.CNG.swc	949.01	9.0	
GA01o29c1n2-1.CNG.swc	752.55	3.0	
TS072007s1.CNG.swc	853.46	7.0	
JM080603-40.CNG.swc	571.13	7.0	
GA02325c2n3-1.CNG.swc	322.11	6.0	
JM011404-10-1.CNG.swc	533.76	4.0	
EF071708-n1.CNG.swc	796.15	7.0	
KP052008cell1.CNG.swc	740.96	5.0	
JM091703-30-2.CNG.swc	740.68	9.0	
DS8-070904.CNG.swc	299.06	6.0	
AM81-2-3.CNG.swc	673.63	6.0	
020315-2-ST.CNG.swc	612.45	3.0	
DAJ141E.CNG.swc	588.69	6.0	
GA01203c1.CNG.swc	155.71	8.0	
GA02531-C3.CNG.swc	733.92	6.0	
GA01613c2-a.CNG.swc	122.95	9.0	
AM61-2-2.CNG.swc	858.26	2.0	
MD070419-2.CNG.swc	372.81	6.0	
MD070521-1.CNG.swc	NA	NA	
DS030305-3.CNG.swc	999.06	6.0	
TS051808s1c3.CNG.swc	534.06	5.0	
MD022309-1.CNG.swc	609.11	4.0	
GA01105c1.CNG.swc	179.36	4.0	
AP121509Dcell2.CNG.swc	1322.42	9.0	
JMcell1or7-1.CNG.swc	528.81	7.0	
BW100704-30-1.CNG.swc	858.43	10.0	
EF092908n1.CNG.swc	544.44	5.0	
AWef041609-cell2.CNG.swc	540.79	6.0	
JM012804-30.CNG.swc	588.42	4.0	
MD91008-3cell1.CNG.swc	676.95	7.0	
DAG112F.CNG.swc	588.23	6.0	
AWcb80609.CNG.swc	582.98	5.0	
MD070521-2.CNG.swc	NA	NA	
MD070503-2-2.CNG.swc	NA	NA	
AWab80616.CNG.swc	396.93	6.0	
MD070424-1(cor).CNG.swc	679.28	11.0	
MD050201-3.CNG.swc	1134.95	8.0	
AP121509Dcell3.CNG.swc	1073.03	2.0	
TS091908s1cell3.CNG.swc	729.49	4.0	
Vn05192006-0-1-A.CNG.swc	838.38	6.0	
020621-3-NPY.CNG.swc	653.82	9.0	
MJ070604-2.CNG.swc	360.25	5.0	
AP030507-2-1.CNG.swc	569.54	8.0	
MD021709-5.CNG.swc	354.58	4.0	
Vn01162006-0-B.CNG.swc	1044.99	8.0	
JM072303.CNG.swc	582.44	7.0	
AP122409Bcell1.CNG.swc	605.73	5.0	
MD070426-4.CNG.swc	NA	NA	
TS120208.CNG.swc	501.67	8.0	
AWd012209.CNG.swc	531.28	11.0	
GA01113c1n2-a-1.CNG.swc	78.11	3.0	
MD080617-1.CNG.swc	172.34	4.0	
DEV122T3.CNG.swc	1908.28	4.0	
JM082503-20.CNG.swc	475.77	7.0	
010920-slice2-cellB.CNG.swc	107.75	4.0	
Vn12052005-0-D.CNG.swc	1026.84	9.0	
TS070804.CNG.swc	668.8	5.0	
MJ122304-1-2.CNG.swc	979.33	7.0	
TS050907S5.CNG.swc	732.7	7.0	
JM082703-20-2.CNG.swc	447.59	3.0	
GA01918c3n4-1.CNG.swc	523.07	7.0	
EF091808n3-4cell1.CNG.swc	690.04	5.0	
GA01703c2-a.CNG.swc	NA	NA	
Vn03082006-0-B.CNG.swc	1123.75	6.0	
M030806SL2.CNG.swc	NA	NA	
GA01108c1-a.CNG.swc	233.15	5.0	
KP050907complete.CNG.swc	776.92	6.0	
GA01611c3-a.CNG.swc	142.37	6.0	
JM092903-10-2.CNG.swc	NA	NA	
AWb091509cell1.CNG.swc	555.84	6.0	
VN031605-0.CNG.swc	462.1	5.0	
JM092303-10.CNG.swc	673.93	5.0	
MJ090804-1-1.CNG.swc	821.74	8.0	
JM020404-30-1.CNG.swc	610.58	6.0	
AM99-3-2.CNG.swc	683.65	6.0	
AWd80613.CNG.swc	505.11	6.0	
AWc80616.CNG.swc	340.2	3.0	
EF092408n2-3cell1.CNG.swc	721.98	1.0	
AWab042309cell3.CNG.swc	NA	NA	
MD070504-2.CNG.swc	818.86	5.0	
AWab092109cell1.CNG.swc	713.34	9.0	
TS011808s2c1.CNG.swc	1209.3	6.0	
AWd042009.CNG.swc	642.78	5.0	
AM48-2.CNG.swc	NA	NA	
BW100704-30-2.CNG.swc	858.43	7.0	
VN05192006-1-D.CNG.swc	NA	NA	
AP041607-1.CNG.swc	1014.82	5.0	
Vn05302006-0-C.CNG.swc	836.06	4.0	
Vn05302006-0-B.CNG.swc	907.09	5.0	
MD021809-2.CNG.swc	1168.06	6.0	
AM-111-1-1-AP.CNG.swc	1134.34	12.0	
MD070620-1.CNG.swc	NA	NA	
AM50-2-1.CNG.swc	1006.02	8.0	
JMn032205-10-2.CNG.swc	719.86	8.0	
MD9908-3cell2.CNG.swc	434.26	4.0	
AM73-3-2.CNG.swc	598.61	9.0	
TS051208s3c1.CNG.swc	973.61	4.0	
VN04172006-1unfinished.CNG.swc	NA	NA	
JMn062604-10.CNG.swc	593.51	5.0	
020530-2-NPY.CNG.swc	510.6	10.0	
Vn07142006-1-D.CNG.swc	713.18	3.0	
MD021709-2.CNG.swc	903.19	7.0	
JM011404-10-3.CNG.swc	646.42	3.0	
GA01623c1.CNG.swc	102.62	5.0	
030223-2-PV.CNG.swc	1379.47	11.0	
AM125-1rotated.CNG.swc	1184.77	11.0	
JM080803-20.CNG.swc	491.19	6.0	
AM81-2-1.CNG.swc	1117.74	5.0	
AM61-1-2.CNG.swc	677.96	6.0	
JM080603-20-1.CNG.swc	488.63	4.0	
GA02403c2n3-1.CNG.swc	572.36	8.0	
AM61-2-1.CNG.swc	858.26	6.0	
030501-1.CNG.swc	576.0	6.0	
VN041305-0-a.CNG.swc	535.68	10.0	
AWb80521.CNG.swc	577.44	9.0	
DEV119T3.CNG.swc	2198.78	5.0	
Vn05132005-1.CNG.swc	1328.1	9.0	
VN041305-0-2.CNG.swc	535.68	6.0	
AWa052909.CNG.swc	697.51	10.0	
RosaY142A-incomplete.CNG.swc	290.4	1.0	
TS052208s2c1cell2.CNG.swc	578.54	4.0	
Vn12262005-1-C.CNG.swc	1006.18	7.0	
MD021709-1.CNG.swc	1015.6	8.0	
MD070515-2.CNG.swc	850.8	8.0	
AWb80703.CNG.swc	377.41	6.0	
MD070503-3-1.CNG.swc	719.97	9.0	
AM55-3-2.CNG.swc	616.0	7.0	
MD021709-3.CNG.swc	1575.67	6.0	
JM091503-20-1.CNG.swc	751.01	6.0	
BW042905-10.CNG.swc	561.73	6.0	
MD070412-3.CNG.swc	600.36	3.0	
MD232.CNG.swc	1348.58	9.0	
JMcell8or11-1.CNG.swc	453.47	6.0	
